Gamma,Seed,Horizon,MAE,SMAPE,RMSE,PICoverage,CalPIScale,CalPIWidth,CalPICoverage,Baseline_MAE,Baseline_SMAPE,Baseline_RMSE
0.0,42,20,107.48764209372747,20.294640317322376,274.9398251031652,0.47751466061325215,1.8650655408628976,142.47407544701198,0.6543190768542881,24.21243959450349,9.796574044745402,68.07111884131292
0.0,42,60,118.25021102743777,23.312555215460534,302.6517820200699,0.4067309841957729,2.8775392876816945,241.43555309987207,0.7172436327365905,47.894818989211146,17.03479422966747,126.49418002697287
0.0,42,120,114.4506427437622,24.08164308905884,301.20726027874196,0.4088634370324511,3.2779322099326564,285.14280759848043,0.7457393936267176,79.35004684325393,20.419586364754704,207.84288787526748
0.0,42,250,118.2136552795394,26.2666091178285,292.98358077150465,0.40303358613217766,2.724841419931565,258.1423306105894,0.7022992656795474,131.250998530247,22.1890145513318,370.16366077322436
0.5,42,20,116.38236828197182,20.905309761183506,296.46891657752826,0.4082787322223942,3.0590063499092954,247.5576152673574,0.68357151455743,24.21243959450349,9.796574044745402,68.07111884131292
0.5,42,60,120.67395066519686,23.809047128703178,304.26601472042165,0.3571858501435966,3.6325682323517436,303.3952851482709,0.7310529845741114,47.894818989211146,17.03479422966747,126.49418002697287
0.5,42,120,111.92683932939649,23.83739473514524,286.5052636770038,0.34783057318268584,4.404547180041075,389.37800870745866,0.7922750176271303,79.35004684325393,20.419586364754704,207.84288787526748
0.5,42,250,104.87482467335714,25.217913449212844,284.5607344812429,0.3502897728249841,4.085222342605054,366.6233047997537,0.7672358939964574,131.250998530247,22.1890145513318,370.16366077322436
1.0,42,20,78.83918544774158,15.281026247458259,208.1523242509953,0.5958485958485958,1.5239436929020815,144.28746602453725,0.7264785292954307,24.21243959450349,9.796574044745402,68.07111884131292
1.0,42,60,98.73096094035382,21.62315418813956,248.11886751747048,0.5077129443326627,1.6171406307875884,176.0433565313338,0.666718258267554,47.894818989211146,17.03479422966747,126.49418002697287
1.0,42,120,104.62028494735682,22.97451208321955,270.41968766191036,0.47607009578840565,2.308600536970386,258.6616268877722,0.7701938124473335,79.35004684325393,20.419586364754704,207.84288787526748
1.0,42,250,116.53039296457695,26.16855619051568,312.75503720793785,0.42473645290546697,2.3727617989482934,265.5898558650261,0.7530138093518375,131.250998530247,22.1890145513318,370.16366077322436
1.5,42,20,77.3786850314754,15.109625941616674,198.33431975019627,0.5973447522743297,1.510659405338385,189.95994702676126,0.7389636967101756,24.21243959450349,9.796574044745402,68.07111884131292
1.5,42,60,113.94178379488028,22.496708583927376,289.66064352614177,0.5260279626476809,1.650977546800664,262.73716036683624,0.7357478202548625,47.894818989211146,17.03479422966747,126.49418002697287
1.5,42,120,116.32192387572815,23.811290964668977,293.0778758166131,0.5204388725515486,1.9907314392070907,338.85371464448065,0.8003061101652651,79.35004684325393,20.419586364754704,207.84288787526748
