pid,group,train_mean,last_price,gap_pct
P11001,เนื้อสัตว์,162.36761320030698,170.0,4.700683005222985
P11002,เนื้อสัตว์,157.52494244052187,160.0,1.5712162919295534
P11003,เนื้อสัตว์,150.63699155794322,145.0,-3.7421031179947084
P11004,เนื้อสัตว์,150.63699155794322,145.0,-3.7421031179947084
P11005,เนื้อสัตว์,166.75748273215657,185.0,10.939549439675993
P11011,เนื้อสัตว์,73.61473522640061,85.0,15.466013344453714
P11012,เนื้อสัตว์,69.43975441289332,80.0,15.207780725022108
P11013,เนื้อสัตว์,65.81734458940906,80.0,21.54850746268656
P11014,เนื้อสัตว์,85.28396009209517,95.0,11.39257592800899
P11015,เนื้อสัตว์,74.52033768227169,80.0,7.353244078269814
P11018,เนื้อสัตว์,81.87260168841136,95.0,16.0339332583427
P11020,เนื้อสัตว์,4.573752877973907,5.7,24.624135848043487
P11021,เนื้อสัตว์,4.277359938603224,5.4,26.24609753471847
P11022,เนื้อสัตว์,4.073215656178051,5.2,27.663262614462823
P11025,เนื้อสัตว์,4.067613200306983,5.3,30.297541555819723
P11026,เนื้อสัตว์,3.7678434382194936,5.0,32.701904470923715
P11027,เนื้อสัตว์,3.426170376055258,4.7,37.17940102591669
P11028,เนื้อสัตว์,3.253491941673062,4.4,35.23930837638291
P11029,เนื้อสัตว์,3.0096699923254033,4.2,39.5501835985312
P11030,เนื้อสัตว์,2.8545663852647736,4.0,40.126361070036296
P11037,เนื้อสัตว์,140.61396776669224,135.0,-3.992468071171264
P11038,เนื้อสัตว์,140.6216423637759,135.0,-3.9977077989412138
P12001,สัตว์น้ำ,254.11358403683806,240.0,-5.554045483374104
P12002,สัตว์น้ำ,230.52187260168841,220.0,-4.564370609581518
P12003,สัตว์น้ำ,208.91020721412127,200.0,-4.265089452995855
P12004,สัตว์น้ำ,186.1703760552571,180.0,-3.3143705169428617
P12005,สัตว์น้ำ,163.63775901765158,160.0,-2.2230559984992038
P12012,สัตว์น้ำ,64.95778971603991,65.0,0.06498109640831157
P12019,สัตว์น้ำ,97.25249424405219,100.0,2.825126262626263
P13001,ผักสด,25.907904834996163,20.0,-22.803483618697793
P13002,ผักสด,33.61166538756715,30.0,-10.745273540962637
P13003,ผักสด,22.177283192632387,33.0,48.80091358964598
P13004,ผักสด,29.191097467382964,43.0,47.3051845619939
P13005,ผักสด,19.88027628549501,25.0,25.752779493514517
P13006,ผักสด,26.786646201074443,32.0,19.462510385926713
P13007,ผักสด,40.80583269378358,42.0,2.926462290765463
P13008,ผักสด,48.821181887950885,54.0,10.60772785864746
P13009,ผักสด,24.82501918649271,25.0,0.7048567100503862
P13010,ผักสด,32.49270913277053,35.0,7.716472199914974
P13011,ผักสด,20.607828089025325,30.0,45.57574854759422
P13012,ผักสด,27.95088257866462,40.0,43.10818231740802
P13013,ผักสด,33.26937835763622,35.0,5.2018454440599875
P13014,ผักสด,40.90790483499616,45.0,10.003189313922302
P13015,ผักสด,27.66768994627782,29.0,4.815400404981827
P13016,ผักสด,35.23484267075978,39.0,10.685892269826413
P13017,ผักสด,30.292402148887184,40.0,32.046312482582145
P13018,ผักสด,38.12893323100537,50.0,31.13401231834468
P13019,ผักสด,26.643898695318494,35.0,31.362156868393015
P13020,ผักสด,34.38296239447429,45.0,30.878775027343135
P13021,ผักสด,23.0199539524175,29.0,25.97766294382397
P13022,ผักสด,41.287029930928625,49.0,18.68133910812871
P13023,ผักสด,49.31312356101305,63.0,27.755038518403225
P13024,ผักสด,20.730621642363776,36.0,73.65615282096846
P13025,ผักสด,27.348426707597852,46.0,68.19980356391187
P13026,ผักสด,13.645433614735227,15.0,9.926884139482562
P13027,ผักสด,20.44052187260169,23.0,12.521588946459408
P13028,ผักสด,19.627782041442824,20.0,1.896383186705768
P13029,ผักสด,25.88027628549501,30.0,15.918391554474825
P13030,ผักสด,130.8365310821182,180.0,37.57625527921163
P13031,ผักสด,148.119723714505,200.0,35.025906735751285
P13032,ผักสด,38.55640828856485,45.0,16.712116085113152
P13033,ผักสด,13.81657712970069,25.0,80.94206521135366
P13034,ผักสด,16.29930928626247,29.0,77.92164987286938
P13035,ผักสด,7.2808902532617035,9.0,23.611257510277227
P13036,ผักสด,9.287029930928627,11.0,18.444756631683322
P13037,ผักสด,5.470452801227935,7.0,27.960157126823795
P13038,ผักสด,5.1366078280890255,5.0,-2.659494994770659
P13039,ผักสด,12.179585571757483,25.0,105.26149968494012
P13040,ผักสด,14.657712970069072,29.0,97.84805487198282
P13041,ผักสด,20.454336147352265,30.0,46.66816749212066
P13042,ผักสด,10.033000767459708,11.0,9.638185573319062
P13043,ผักสด,3.4082885648503454,3.0,-11.97928394505742
P13044,ผักสด,2.3603223330775136,1.5,-36.44935782799545
P13045,ผักสด,58.37682271680737,50.0,-14.349569447183331
P13046,ผักสด,54.38986953184958,140.0,157.40087484125868
P13059,ผักสด,109.77359938603223,55.0,-49.896878386408915
P13082,ผักสด,218.4113584036838,100.0,-54.21483537720932
P13083,ผักสด,253.96392939370682,120.0,-52.749195412719274
P13084,ผักสด,81.22026093630085,50.0,-38.439005952943404
P13085,ผักสด,99.75825019186493,60.0,-39.85459860753164
P13086,ผักสด,68.61089792785879,100.0,45.74944071588367
P13087,ผักสด,54.45510360706063,100.0,83.63751673595941
P13088,ผักสด,211.78050652340752,116.0,-45.226309113969926
P13089,ผักสด,239.61243284727553,136.0,-43.241676408884906
P13090,ผักสด,105.7789716039908,94.0,-11.135456722048906
P13091,ผักสด,191.54259401381427,120.0,-37.3507492587547
P13092,ผักสด,20.188027628549502,17.0,-15.791674586580504
P14001,ผลไม้,47.87029930928626,30.0,-37.33066132264529
P14002,ผลไม้,59.93092862624712,40.0,-33.25649891151236
P14003,ผลไม้,71.86108979278588,60.0,-16.50558017835211
P14005,ผลไม้,24.316193399846508,30.0,23.37457391743467
P14007,ผลไม้,36.57329240214889,45.0,23.040604343720492
P14008,ผลไม้,43.791250959324636,55.0,25.595864002804063
P14009,ผลไม้,29.04067536454336,45.0,54.95507399577168
P14010,ผลไม้,28.760552570990022,25.0,-13.07538358905937
P14011,ผลไม้,38.879508825786644,40.0,2.8819581523884783
P14012,ผลไม้,79.10207214121259,100.0,26.418938585427377
P14013,ผลไม้,63.16960859554873,80.0,26.643178228647802
P14014,ผลไม้,57.233307751343055,60.0,4.834059671471671
P14015,ผลไม้,44.86569455103607,50.0,11.44372220321587
P14016,ผลไม้,47.05295471987721,55.0,16.88957755667917
P14017,ผลไม้,47.141212586339215,60.0,27.277167277167283
P14019,ผลไม้,101.15118956254797,150.0,48.292867981790586
P14020,ผลไม้,137.62854950115118,180.0,30.786817598840134
P14021,ผลไม้,50.80199539524175,55.0,8.263464007855585
P14026,ผลไม้,23.167306216423636,38.0,64.02424884884223
P14027,ผลไม้,20.472755180353033,28.0,36.767131503973594
P14030,ผลไม้,52.0376055257099,55.0,5.692795516554828
P14033,ผลไม้,38.718342287029934,38.0,-1.8553022794846457
P14034,ผลไม้,93.60706062931696,110.0,17.51250307452652
P14035,ผลไม้,86.59247889485802,100.0,15.483470708145
P14036,ผลไม้,49.77743668457406,65.0,30.581251927227868
P15001,พืชอาหาร,86.76899462778204,175.0,101.6849460463471
P15002,พืชอาหาร,72.5709900230238,160.0,120.47377326565142
P15003,พืชอาหาร,62.1703760552571,140.0,125.18763578905788
P15007,พืชอาหาร,85.46815042210284,175.0,104.75463565752256
P15008,พืชอาหาร,83.2655410590944,155.0,86.15143555002534
P15009,พืชอาหาร,89.60475825019186,145.0,61.82176352190485
P15010,พืชอาหาร,65.14198004604758,102.0,56.581055607917065
P15011,พืชอาหาร,52.866462010744435,92.0,74.02337228714525
P15012,พืชอาหาร,45.923254029163466,72.0,56.78331495036599
P15013,พืชอาหาร,70.3031465848043,107.0,52.19802412532068
P15014,พืชอาหาร,59.76055257099002,97.0,62.31442954743926
P15015,พืชอาหาร,50.86569455103607,77.0,51.379039802045924
P15016,พืชอาหาร,48.40368380660016,90.0,85.93626129697161
P15017,พืชอาหาร,35.775134305448965,80.0,123.61900675748149
P15018,พืชอาหาร,28.747505755947813,60.0,108.7137594105398
P15019,พืชอาหาร,52.678434382194936,95.0,80.33945221445221
P15020,พืชอาหาร,41.195702225633156,85.0,106.33220313722566
P15021,พืชอาหาร,33.27244819646968,65.0,95.35682981962451
P15030,พืชอาหาร,35.05679201841903,45.0,28.363142800849413
P15031,พืชอาหาร,31.12125863392172,40.0,28.529506054104708
P15033,พืชอาหาร,81.28933231005372,70.0,-13.88783987915408
P15035,พืชอาหาร,216.95318495778972,420.0,93.59015175634087
P15039,พืชอาหาร,236.16270145817344,250.0,5.8592226699597045
P15040,พืชอาหาร,187.97390636991557,200.0,6.397746294859763
P16006,พืชน้ำมันและน้ำมันพืช,46.11435149654643,56.0,21.437249321816694
P16007,พืชน้ำมันและน้ำมันพืช,45.56945510360706,53.0,16.30597706182528
P16008,พืชน้ำมันและน้ำมันพืช,61.2256331542594,69.0,12.69789538338118
P16010,พืชน้ำมันและน้ำมันพืช,37.04834996162702,43.0,16.064548204002143
P16011,พืชน้ำมันและน้ำมันพืช,38.7897160399079,43.0,10.854124211067814
P16012,พืชน้ำมันและน้ำมันพืช,29.33231005372218,34.0,15.913134484563061
P16022,พืชน้ำมันและน้ำมันพืช,68.7191097467383,82.0,19.32634212260305
R11001,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1437.567152724482,2250.0,56.51442756853429
R11002,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1382.8626247122027,2200.0,59.090278432961306
R11003,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1372.6400613967767,2190.0,59.54656006262056
R11004,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1322.6400613967767,2140.0,61.79760937681327
R11005,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1362.6415963161935,2180.0,59.983373903561876
R11006,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1312.6400613967767,2130.0,62.268398065915555
R11007,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1337.12202609363,2150.0,60.793103250357305
R11008,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1285.4105909439754,2090.0,62.59396139447964
R11009,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1302.5940138142748,2040.0,56.61057692307691
R11010,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1255.7636224098235,2050.0,63.24728343906226
R11011,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1221.6423637759017,2020.0,65.35117477069986
R11012,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1201.5656178050651,2000.0,66.44950307861323
R11013,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1135.0268610897929,1470.0,29.51235344233031
R11014,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1134.7689946277821,1470.0,29.54178400707693
R11015,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1069.5471987720646,1400.0,30.89651411432096
R11016,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1069.5471987720646,1400.0,30.89651411432096
R11017,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1032.7935533384498,1160.0,12.316735154897337
R11018,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2405.44128933231,2580.0,7.256826904976882
R11019,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2510.7828089025325,2730.0,8.731029634271223
R11020,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2324.2977743668457,2480.0,6.69889320337058
R11021,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2343.9063699155795,2580.0,10.072656191165345
R11022,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2123.630084420568,2280.0,7.363331152944064
R11023,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2143.453568687644,2380.0,11.035761854976156
R11024,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1758.5571757482733,2140.0,21.690669459718944
R11025,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1788.4343821949349,2140.0,19.657730879317516
R11026,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1300.0767459708366,2070.0,59.22136953955136
R11027,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1251.7421335379893,2020.0,61.37509043420681
R11028,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1044.7812739831159,1670.0,59.842068534910204
R11029,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,3129.8541826554106,3240.0,3.519199646903046
R11030,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,3080.237912509593,3180.0,3.2387786373659275
R11031,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,3062.471220260936,2990.0,-2.3664294306335174
R11032,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2910.422102839601,2820.0,-3.106838102671744
R11033,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1311.4504988488104,1840.0,40.30266499689845
R11034,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1335.594781273983,1840.0,37.7663364516055
R11035,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2769.493476592479,2660.0,-3.953556038961944
R11036,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,2769.5088257866464,2660.0,-3.954088348338869
R11037,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1983.2693783576362,2590.0,30.592446405077006
R11038,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1983.2693783576362,2590.0,30.592446405077006
R11039,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1220.683039140445,1690.0,38.44707805476094
R11040,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1220.7444359171143,1690.0,38.44011492301793
R11041,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,956.8610897927858,880.0,-8.03262778815999
R11042,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,1133.8219493476593,1124.0,-0.8662691133568443
R11043,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,833.8066001534919,830.0,-0.45653274425881957
R11044,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,187.0222563315426,180.0,-3.754770405022774
R11053,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,9351.95702225633,11900.0,27.24609375000001
R11054,ราคาขายส่งข้าว ผลิตภัณฑ์ข้าวและกระสอบป่าน,9193.016116653876,12540.0,36.40789748299035
W11001,เนื้อสัตว์,2231.926323867997,3300.0,47.854342892510836
W11002,เนื้อสัตว์,2355.103607060629,1600.0,-32.062436862515064
W11003,เนื้อสัตว์,74.31312356101304,68.0,-8.495301043065162
W11004,เนื้อสัตว์,75.31082118188795,69.0,-8.379700397431971
W11005,เนื้อสัตว์,87.95702225633154,87.0,-1.0880566801619418
W11006,เนื้อสัตว์,88.95702225633154,88.0,-1.0758254177774311
W11007,เนื้อสัตว์,142.04297774366844,132.0,-7.070379615521761
W11008,เนื้อสัตว์,138.06293169608597,128.0,-7.288655667719135
W11009,เนื้อสัตว์,129.24174980813507,112.0,-13.340696666310373
W11010,เนื้อสัตว์,127.21719109746738,110.0,-13.533698511136311
W11011,เนื้อสัตว์,146.46508058326938,152.0,3.7790027456980533
W11016,เนื้อสัตว์,10.772064466615502,11.0,2.1159874608150524
W11017,เนื้อสัตว์,11.772064466615502,12.0,1.9362409544298897
W11018,เนื้อสัตว์,34.354566385264775,38.2,11.193369672057909
W11019,เนื้อสัตว์,34.98081350729087,38.2,9.20272049144362
W11020,เนื้อสัตว์,47.871834228702994,56.0,16.97901470093143
W11021,เนื้อสัตว์,3.6742900997697623,4.6,25.194251817194402
W11022,เนื้อสัตว์,4.306676899462778,5.2,20.742747166583506
W11023,เนื้อสัตว์,4.006676899462778,4.9,22.295860708334157
W11024,เนื้อสัตว์,3.803453568687644,4.7,23.571904194999906
W11027,เนื้อสัตว์,2.814504988488104,3.84,36.436070133340614
W11028,เนื้อสัตว์,3.5151189562547973,4.540000000000001,29.156368717523254
W11029,เนื้อสัตว์,3.271834228702993,4.340000000000001,32.64730718708953
W11030,เนื้อสัตว์,3.070222563315426,4.139999999999999,34.843644544431896
