model,mae_20,smape_20,mae_60,smape_60,mae_120,smape_120,mae_250,smape_250,mae_overall,smape_overall
persistence,15.109672959054146,7.5934402002244425,30.859187248395166,14.322837084534761,51.02635797700649,18.232188975685666,83.84053434519276,19.980813402967186,45.20893813241214,15.032319915853014
snaive,62.176977477967576,17.68949671855004,63.75695753091793,17.933320001774327,70.99744436586515,19.054946958379173,83.84053434519276,19.980813402967186,70.19297842998586,18.664644270417682
drift,15.691883728455345,7.781350606349863,32.697257074582,14.802352930370798,55.76349069727518,19.193918974373286,95.46599774442672,22.078086572427644,49.904657311184806,15.963927270880399
