product_id,model_name,paradigm,MAE,RMSE,SMAPE
P11001,baseline,local,6.98901098901099,8.852424078206107,4.159385572353616
P11001,arima,local,6.991225533956472,8.852525862655273,4.160732490802301
P11001,lightgbm,local,15.325616512982515,18.62042289702464,8.424136694949665
P11001,random_forest,local,17.6201271165994,21.84679076307422,9.54797612307821
P11001,mlp,local,11.035417270311068,12.634948502868005,6.156826920112294
P11001,lstm,local,10.803531442719065,12.406200537743752,6.167601836104052
P11001,gru,local,14.28372216975733,15.78223545692892,8.012982282114026
P11002,baseline,local,4.699633699633699,7.428229155165221,3.023363815462009
P11002,arima,local,4.7018692851634585,7.428264843708769,3.0248381432169835
P11002,lightgbm,local,11.937858181773056,14.774543831431014,7.144696809532607
P11002,random_forest,local,11.985101049819177,14.556627471191096,7.302218220112786
P11002,mlp,local,8.81893553122496,10.95781380859694,5.332267276128254
P11002,lstm,local,7.824407444768772,9.285473835564517,4.90203397847139
P11002,gru,local,6.691268261361034,8.586642684203332,4.144731429557816
P11003,baseline,local,7.644688644688645,10.247074651967136,5.268458314335911
P11003,arima,local,7.647386275465092,10.247286676501378,5.270432092880894
P11003,lightgbm,local,11.578998651792697,15.025127077144164,7.402442793889264
P11003,random_forest,local,11.939006945771448,16.7800476647706,7.549312773065306
P11003,mlp,local,10.00167471078726,12.257044650684035,6.576763393699897
P11003,lstm,local,7.9360638740735165,10.122306140084952,5.35744089675008
P11003,gru,local,7.904729967501574,10.47078062621332,5.303884527387131
P11004,baseline,local,7.652014652014652,10.2481689331817,5.2717281058694185
P11004,arima,local,7.654712282791101,10.24838100585688,5.273701884414402
P11004,lightgbm,local,11.498412571206616,14.897098684730375,7.345810918544217
P11004,random_forest,local,11.858420865185368,16.65412362539025,7.492689898547454
P11004,mlp,local,9.088611186380351,11.13861978380702,6.048580266749458
P11004,lstm,local,7.05929225600246,9.077315027154256,4.778761862108828
P11004,gru,local,8.05350596668956,10.118921034288585,5.40763051200926
P11037,baseline,local,7.747252747252747,10.362422325845586,5.851138231548672
P11037,arima,local,7.749545669253697,10.362163892899163,5.853021081985578
P11037,lightgbm,local,12.336950823767516,15.990004524584032,8.41888385067379
P11037,random_forest,local,13.404806380079076,18.33524876838262,8.995126035795007
P11037,mlp,local,9.15172865312178,11.365119577712983,6.462376911964722
P11037,lstm,local,8.181856863839286,10.679091996635268,5.991856773766509
P11037,gru,local,8.664780803303142,11.37237857876674,6.304166381495697
P11038,baseline,local,7.747252747252747,10.362422325845586,5.851138231548672
P11038,arima,local,7.7477676983717245,10.362514438407572,5.851538376294439
P11038,lightgbm,local,12.581872073892622,16.507943507601553,8.54432085700411
