family,config_id,published,params,val_mae_20,val_mae_60,val_mae_120,val_mae_250,val_mae_mean
transformer,0,True,"{""d_model"": 32, ""layers"": 2, ""nhead"": 4, ""lr"": 0.003}",60.0827275660271,66.45373690683799,70.42082186852484,104.77524732308657,75.43313341611912
transformer,1,False,"{""d_model"": 64, ""layers"": 2, ""nhead"": 4, ""lr"": 0.003}",49.37222805817622,56.98015321664524,64.296166059047,92.83949274744523,65.87201002032842
transformer,2,False,"{""d_model"": 64, ""layers"": 4, ""nhead"": 4, ""lr"": 0.001}",48.97760717039587,57.98468511634827,62.666135338496474,89.78984947060319,64.85456927396095
transformer,3,False,"{""d_model"": 32, ""layers"": 4, ""nhead"": 4, ""lr"": 0.003}",50.66939476415821,55.67325581747713,63.58805582707476,87.13437197059915,64.26626959482732
transformer,4,False,"{""d_model"": 64, ""layers"": 2, ""nhead"": 8, ""lr"": 0.001}",42.37688683641797,53.484762552354475,66.15036443590355,90.43655281968707,63.11214166109076
transformer,5,False,"{""d_model"": 128, ""layers"": 2, ""nhead"": 4, ""lr"": 0.001}",50.127440173609955,62.68793895906975,71.51552457238449,97.2355439003907,70.39161190136372
transformer,6,False,"{""d_model"": 32, ""layers"": 2, ""nhead"": 4, ""lr"": 0.01}",54.09320677900792,53.45790406730045,72.00095759708215,109.80936560876381,72.34035851303858
transformer,7,False,"{""d_model"": 64, ""layers"": 4, ""nhead"": 8, ""lr"": 0.0003}",59.85970771128273,66.5861896427458,76.77193240972431,102.0154847128729,76.30832861915644
transformer,8,False,"{""d_model"": 128, ""layers"": 4, ""nhead"": 8, ""lr"": 0.001}",42.20028376845477,54.137262350515805,69.23788871632735,89.25402310757052,63.70736448571711
transformer,9,False,"{""d_model"": 32, ""layers"": 2, ""nhead"": 2, ""lr"": 0.001}",45.06855054462216,53.05845698575638,64.246998719152,94.6215551631874,64.24889035317949
