pid,ae_b_20,ae_b_60,ae_b_120,ae_b_250,ae_c_20,ae_c_60,ae_c_120,ae_c_250,rel20,win20,rel60,win60,rel120,win120,rel250,win250,gap_pct,group,abs_gap,gap_q,direction
P11001,4.725274725274725,7.857142857142857,7.967032967032967,14.157509157509157,4.982940785614126,7.770064525115184,8.037261739318623,14.068004174983544,0.05452932904857081,False,-0.011082696803522005,True,0.008814921762751312,False,-0.006322085441007054,True,4.700683005222985,เนื้อสัตว์,4.700683005222985,Q1 (smallest gap),price ROSE since training
P11002,3.076923076923077,3.772893772893773,5.476190476190476,10.989010989010989,3.21251703618647,3.912195003076351,5.605512402433178,11.083410186208647,0.044068036760602655,False,0.0369215881940231,False,0.023615308270406473,False,0.008590326944986907,False,1.5712162919295534,เนื้อสัตว์,1.5712162919295534,Q1 (smallest gap),price ROSE since training
P11003,4.670329670329671,7.8388278388278385,11.556776556776557,13.956043956043956,5.061049464858058,7.973125695308923,11.616020146743718,14.009119250398852,0.08366000306372538,False,0.017132390102493476,False,0.005126307467839985,False,0.0038030329025948943,False,-3.742103117994709,เนื้อสัตว์,3.742103117994709,Q1 (smallest gap),price FELL since training
P11004,4.670329670329671,7.8388278388278385,11.556776556776557,13.992673992673993,5.061078557164678,7.973142435262491,11.616016290126703,13.993691748315161,0.08366623223996632,False,0.017134525619934653,False,0.005125973757397793,False,7.273489268035588e-05,False,-3.742103117994709,เนื้อสัตว์,3.742103117994709,Q1 (smallest gap),price FELL since training
P11005,3.8095238095238093,6.336996336996337,8.424908424908425,11.025641025641026,3.995993366171589,6.4719964890252974,8.59247088868976,11.137301043276386,0.04894825862004216,False,0.021303492198789763,False,0.019888935918393278,False,0.010127303925067568,False,10.939549439675991,เนื้อสัตว์,10.939549439675991,Q2,price ROSE since training
P11011,0.47619047619047616,1.2087912087912087,1.9963369963369964,2.490842490842491,1.0504322820530707,1.7003887022807922,2.8866139226780705,3.439789517021878,,False,0.4066851991595645,False,0.4459552309928683,False,0.3809743208043716,False,15.466013344453714,เนื้อสัตว์,15.466013344453714,Q2,price ROSE since training
P11012,1.7216117216117217,3.9194139194139193,4.413919413919414,1.9963369963369964,2.185096014113653,4.536519592061584,4.680337423806662,3.706764137351906,0.2692153443681431,False,0.15744845666617988,False,0.060358603069891076,False,0.8567827697193952,False,15.207780725022108,เนื้อสัตว์,15.207780725022108,Q2,price ROSE since training
P11013,0.3663003663003663,1.098901098901099,2.197802197802198,4.4322344322344325,0.8089432768769317,1.518941383222084,2.2439564575642454,2.104732695079985,,False,0.3822366587320963,False,0.021000188191731592,False,-0.5251305572257555,True,21.54850746268656,เนื้อสัตว์,21.54850746268656,Q3,price ROSE since training
P11014,1.465201465201465,3.9194139194139193,3.241758241758242,2.2161172161172162,1.9049342228816106,3.389879415323446,2.9956156133295417,2.2233290060972557,0.3001176071166993,False,-0.13510553235205536,True,-0.07592874300681934,True,0.0032542457265302034,False,11.39257592800899,เนื้อสัตว์,11.39257592800899,Q2,price ROSE since training
P11015,0.7326007326007326,1.52014652014652,2.6373626373626373,3.717948717948718,0.9221316047640511,1.6562892089396606,2.4684287829276843,2.6039951031024637,0.2587096405029298,False,0.08955892539886111,False,-0.06405408647325302,True,-0.299615110200027,True,7.353244078269814,เนื้อสัตว์,7.353244078269814,Q1 (smallest gap),price ROSE since training
P11018,1.2454212454212454,2.3076923076923075,2.7655677655677655,5.65934065934066,1.7659212049547133,3.1660237853780333,5.079971481155563,7.690903743981441,0.41793084986069623,False,0.3719436403304812,False,0.8368638600734685,False,0.3589752246646818,False,16.0339332583427,เนื้อสัตว์,16.0339332583427,Q2,price ROSE since training
P11020,0.10695963988810668,0.3084247784736829,0.47142844671731465,0.3857143195994171,0.23530833625094794,0.35632195140852596,0.528886473659194,0.44265792570708,,False,,False,,False,,False,24.624135848043487,เนื้อสัตว์,24.624135848043487,Q3,price ROSE since training
P11021,0.10695974468748211,0.3084250230055589,0.47142863535619045,0.38571425322647934,0.24672820017887995,0.35485071140331226,0.5452686019869515,0.43310136498112384,,False,,False,,False,,False,26.24609753471847,เนื้อสัตว์,26.24609753471847,Q3,price ROSE since training
P11022,0.10695963988810668,0.3084247784736829,0.47142844671731465,0.3857143195994171,0.2292234487149305,0.35654961582505224,0.5322263057415302,0.48426885220594024,,False,,False,,False,,False,27.663262614462823,เนื้อสัตว์,27.663262614462823,Q3,price ROSE since training
P11025,0.09010994390690283,0.2842492218855973,0.41684998173416754,0.28717954516847494,0.16228351662883828,0.2870543693011497,0.31808087065979673,0.14236443907349974,,False,,False,,True,,True,30.297541555819723,เนื้อสัตว์,30.297541555819723,Q3,price ROSE since training
P11026,0.09010987753396506,0.2842490804064405,0.4168498524816045,0.285714355580536,0.16210047753302606,0.2865335583250165,0.3180319241115025,0.14076247931400063,,False,,False,,True,,True,32.701904470923715,เนื้อสัตว์,32.701904470923715,Q3,price ROSE since training
P11027,0.09010987054734003,0.28424900879353393,0.41684961842966606,0.2871793521629585,0.1382513308263087,0.27399418030903017,0.3177183434203431,0.1350215616680327,,False,,True,,True,,True,37.17940102591669,เนื้อสัตว์,37.17940102591669,Q3,price ROSE since training
P11028,0.09010991072043395,0.2842491511460189,0.4168499206011985,0.2871795294485686,0.15490144338363257,0.2797682267842275,0.3018182310865912,0.1364770599337288,,False,,True,,True,,True,35.23930837638291,เนื้อสัตว์,35.23930837638291,Q3,price ROSE since training
P11029,0.09010987578730881,0.28424901927347146,0.41684969528254134,0.28571420449476975,0.13387402859362926,0.2706983430044992,0.3009607547368759,0.12034080142066592,,False,,True,,True,,True,39.5501835985312,เนื้อสัตว์,39.5501835985312,Q4 (largest gap),price ROSE since training
P11030,0.09010987928062132,0.28424905507992476,0.4168498158018231,0.2871794892754747,0.14632129494523827,0.27675278457529817,0.30232926515432507,0.136318883616409,,False,,True,,True,,True,40.126361070036296,เนื้อสัตว์,40.126361070036296,Q4 (largest gap),price ROSE since training
P11037,4.816849816849817,9.084249084249084,10.934065934065934,13.663003663003662,5.367454109611092,9.204138703398652,11.254007276597914,13.663077805068466,0.11430796344017356,False,0.013197526624125806,False,0.02926096700543734,False,5.426483563406361e-06,False,-3.992468071171264,เนื้อสัตว์,3.992468071171264,Q1 (smallest gap),price FELL since training
P11038,4.816849816849817,9.084249084249084,10.934065934065934,13.663003663003662,5.366548978365385,9.202061440045144,11.25191637535235,13.662293486542755,0.11412005406368836,False,0.012968860134001763,False,0.0290697388513204,False,-5.197806268843155e-05,True,-3.9977077989412138,เนื้อสัตว์,3.9977077989412138,Q1 (smallest gap),price FELL since training
P12001,3.9194139194139193,8.901098901098901,9.89010989010989,8.131868131868131,4.051487961094895,9.064071599380437,10.055289244040464,8.071382068452381,0.03369739568122093,False,0.01830927844891326,False,0.016701468008535808,False,-0.007438151041666558,True,-5.554045483374104,สัตว์น้ำ,5.554045483374104,Q1 (smallest gap),price FELL since training
P12002,3.9194139194139193,8.901098901098901,9.89010989010989,8.131868131868131,4.177174886067708,9.1595703795716,10.687449193262792,9.007085611532023,0.0657651812116676,False,0.029038153754340146,False,0.08061986287434887,False,0.1076280954721813,False,-4.564370609581518,สัตว์น้ำ,4.564370609581518,Q1 (smallest gap),price FELL since training
P12003,3.9194139194139193,8.901098901098901,9.89010989010989,8.131868131868131,3.9719167856069713,8.907769004067221,9.864306551196199,8.183682787549365,0.013395591094115138,False,0.0007493572470581531,False,-0.0026090042679399257,True,0.00637180225269229,False,-4.265089452995855,สัตว์น้ำ,4.265089452995855,Q1 (smallest gap),price FELL since training
P12004,2.4175824175824174,5.054945054945055,5.787545787545787,4.615384615384615,2.48249990162832,5.18956535814446,6.049408741486379,4.982782496637477,0.026852232037168706,False,0.026631407806838835,False,0.04524594077581102,False,0.07960287427145349,False,-3.3143705169428617,สัตว์น้ำ,3.3143705169428617,Q1 (smallest gap),price FELL since training
P12005,2.7472527472527473,8.608058608058608,12.893772893772894,11.428571428571429,3.2094758421510132,9.047299060192737,13.205665169181405,11.99488293993604,0.16824920654296882,False,0.05102665677983713,False,0.02418937249617141,False,0.04955225724440353,False,-2.223055998499204,สัตว์น้ำ,2.223055998499204,Q1 (smallest gap),price FELL since training
P12012,4.010989010989011,8.58974358974359,11.611721611721611,9.340659340659341,4.271847400036487,8.64690911988199,10.901765984056633,8.380617288442759,0.06503592713238439,False,0.006655091568351069,False,-0.061141289070201624,True,-0.10278097264906944,True,0.0649810964083115,สัตว์น้ำ,0.0649810964083115,Q1 (smallest gap),price ROSE since training
P12019,2.4542124542124544,4.029304029304029,4.798534798534798,6.813186813186813,4.344747270856585,5.702459733564775,10.354756142193581,12.983136159596425,0.7703223954385786,False,0.4152468247847125,False,1.1578995624571358,False,0.9055893395536689,False,2.825126262626263,สัตว์น้ำ,2.825126262626263,Q1 (smallest gap),price ROSE since training
P13001,6.153846153846154,8.406593406593407,9.285714285714286,8.91941391941392,6.286577046572507,8.354299849206274,9.166754359290714,8.69661801027291,0.021568770068032338,False,-0.006220540813371328,True,-0.012811068999461684,True,-0.024978761065911917,True,-22.803483618697797,ผักสด,22.803483618697797,Q3,price FELL since training
P13002,6.413919413919414,9.688644688644688,10.43956043956044,9.915750915750916,6.448974057431623,9.537273260263296,10.220222396291655,9.557209000919329,0.005465401301446564,False,-0.015623591662805284,True,-0.02101027572364147,True,-0.03615882628334809,True,-10.745273540962636,ผักสด,10.745273540962636,Q2,price FELL since training
P13003,5.732600732600733,5.622710622710622,6.391941391941392,7.106227106227106,5.89022602877774,5.461461741409022,6.097781100989262,6.824875304113815,0.027496297671771953,False,-0.02867813980152238,True,-0.046020492509989484,True,-0.039592289678829135,True,48.80091358964598,ผักสด,48.80091358964598,Q4 (largest gap),price ROSE since training
P13004,5.593406593406593,5.644688644688645,6.326007326007326,7.010989010989011,5.715227602165697,5.353525022010664,5.87603525015024,6.87879997644669,0.021779394493277978,False,-0.05158187475086883,True,-0.07113050185812647,True,-0.018854548814030158,True,47.3051845619939,ผักสด,47.3051845619939,Q4 (largest gap),price ROSE since training
P13005,5.238095238095238,4.945054945054945,5.805860805860806,5.970695970695971,5.1651176166185095,4.803058271443014,5.507560405102405,5.581097435165238,-0.013932091372830004,True,-0.02871488288596834,True,-0.05137918574576874,True,-0.06525177926373626,True,25.75277949351452,ผักสด,25.75277949351452,Q3,price ROSE since training
P13006,5.377289377289378,5.553113553113553,6.391941391941392,6.197802197802198,5.277916248028095,5.327394555339883,5.998784299298521,5.677333175044357,-0.018480152784966022,True,-0.040647286538398275,True,-0.061508244293125465,True,-0.08397638487759494,True,19.462510385926716,ผักสด,19.462510385926716,Q3,price ROSE since training
P13007,16.53846153846154,29.395604395604394,18.9010989010989,16.53846153846154,16.281016772483294,27.824743857750526,17.027431774488736,14.406511642120696,-0.01556642771031253,True,-0.05343862016624373,True,-0.0991300630939099,True,-0.12890859838339985,True,2.926462290765463,ผักสด,2.926462290765463,Q1 (smallest gap),price ROSE since training
P13008,16.95970695970696,32.16117216117216,21.483516483516482,17.83882783882784,16.572088346376525,31.220951331840766,20.188145494286395,16.31266537341443,-0.02285526596959153,True,-0.02923465676622674,True,-0.060296040930914514,True,-0.08555284457040267,True,10.60772785864746,ผักสด,10.60772785864746,Q2,price ROSE since training
P13009,4.670329670329671,7.087912087912088,6.941391941391942,6.227106227106227,4.453397750854492,6.701642074864426,6.538092099703276,5.713635979117928,-0.04644895216997938,True,-0.05449700959277082,True,-0.05810071597942259,True,-0.08245728100047392,True,0.7048567100503862,ผักสด,0.7048567100503862,Q1 (smallest gap),price ROSE since training
P13010,4.912087912087912,7.183150183150183,7.183150183150183,6.454212454212454,4.762009652106316,6.857398525699154,6.81282362745795,5.8210876311138,-0.03055284487321081,True,-0.04534941483127534,True,-0.05155489531054545,True,-0.09809482219405942,True,7.716472199914974,ผักสด,7.716472199914974,Q1 (smallest gap),price ROSE since training
P13011,3.5238095238095237,6.743589743589744,8.758241758241759,5.6996336996337,3.614811537466643,6.4446532141157995,7.998924031799093,4.734644257541978,0.02582489576756093,False,-0.044328991062676126,True,-0.08669750703423165,True,-0.16930727358035988,True,45.57574854759422,ผักสด,45.57574854759422,Q4 (largest gap),price ROSE since training
P13012,3.901098901098901,7.816849816849817,9.663003663003662,6.677655677655678,4.177201260577191,7.519851342225686,8.91360347873562,5.638077795287192,0.07077553440147719,False,-0.03799465022136253,True,-0.07755354446746608,True,-0.15568006686044802,True,43.10818231740802,ผักสด,43.10818231740802,Q4 (largest gap),price ROSE since training
P13013,5.8791208791208796,12.124542124542124,16.95970695970696,9.267399267399268,5.695202334896549,11.165846325102306,15.72151714366871,7.487257052690555,-0.03128334116712915,True,-0.07907068073929617,True,-0.07300773645322729,True,-0.19208649194287697,True,5.201845444059988,ผักสด,5.201845444059988,Q1 (smallest gap),price ROSE since training
P13014,6.813186813186813,13.699633699633699,18.571428571428573,10.347985347985349,6.62349612896259,12.637473361396092,16.758771050980677,9.042286338386955,-0.02784169720065205,True,-0.07753202468953657,True,-0.09760463571642516,True,-0.12617905473287133,True,10.003189313922302,ผักสด,10.003189313922302,Q2,price ROSE since training
P13015,7.289377289377289,14.139194139194139,11.227106227106226,10.989010989010989,6.2577258588630205,11.881980909969343,8.860595224541186,9.02118869054885,-0.14152806056803788,True,-0.15964228279232365,True,-0.21078548244706563,True,-0.1790718291600546,True,4.815400404981827,ผักสด,4.815400404981827,Q1 (smallest gap),price ROSE since training
P13016,8.611721611721611,16.24175824175824,12.615384615384615,12.571428571428571,7.191791031386826,13.689843635419349,9.686801072005387,10.58022197960934,-0.16488347444976456,True,-0.15712058807634585,True,-0.23214381746298757,True,-0.15839143344016618,True,10.685892269826413,ผักสด,10.685892269826413,Q2,price ROSE since training
P13017,12.454212454212454,19.926739926739927,16.575091575091577,18.278388278388277,11.775395340971894,18.540870911035782,14.926040942852314,14.7173857601571,-0.054505021151374414,True,-0.0695482061189764,True,-0.09948968455277761,True,-0.19482037825192614,True,32.046312482582145,ผักสด,32.046312482582145,Q3,price ROSE since training
P13018,13.58974358974359,23.05860805860806,18.791208791208792,21.17216117216117,12.99850079602811,20.759506043933687,16.31566000159407,16.978153661930516,-0.04350654519793157,True,-0.09970688641876146,True,-0.13173973090932153,True,-0.19809066614065204,True,31.13401231834468,ผักสด,31.13401231834468,Q3,price ROSE since training
P13019,9.523809523809524,12.857142857142858,11.703296703296703,9.633699633699633,8.824794084597857,12.116538896665467,10.81468419364957,8.674545258392781,-0.07339662111722506,True,-0.057602530259352566,True,-0.07592839284308826,True,-0.09956241234173789,True,31.36215686839301,ผักสด,31.36215686839301,Q3,price ROSE since training
P13020,9.714285714285714,13.6007326007326,13.216117216117215,10.282051282051283,9.20014297569191,12.837513542873955,12.046995414482367,9.356238120641464,-0.052926458384656164,True,-0.056116025530678744,True,-0.0884618214651645,True,-0.09004167903985766,True,30.87877502734313,ผักสด,30.87877502734313,Q3,price ROSE since training
P13021,7.893772893772894,7.728937728937729,9.652014652014651,7.069597069597069,7.508494387616168,7.248375965998723,8.480983035468357,5.7867072108901025,-0.04880790356416991,True,-0.06217694847504675,True,-0.12132509727405628,True,-0.1814657675787575,True,25.97766294382397,ผักสด,25.97766294382397,Q3,price ROSE since training
P13022,13.461538461538462,16.135531135531135,13.846153846153847,11.025641025641026,12.075280835776976,14.58309688498249,11.97643069033221,8.797050273462093,-0.10297913791371037,True,-0.09621215673093758,True,-0.13503556125378488,True,-0.20212799845343812,True,18.68133910812871,ผักสด,18.68133910812871,Q3,price ROSE since training
P13023,14.23076923076923,18.571428571428573,14.981684981684982,12.051282051282051,12.689878330999242,16.46482178405091,12.654945527240907,9.64942866454631,-0.10827881998383697,True,-0.11343267316648963,True,-0.1553055919470006,True,-0.19930272783551894,True,27.755038518403225,ผักสด,27.755038518403225,Q3,price ROSE since training
P13024,4.131868131868132,6.549450549450549,5.633699633699634,4.941391941391942,3.9773492219247224,6.1064333094782,4.950938361031668,4.50686278011336,-0.037396863842686964,True,-0.06764189402262374,True,-0.12119234553859208,True,-0.08793659082954253,True,73.65615282096846,ผักสด,73.65615282096846,Q4 (largest gap),price ROSE since training
P13025,3.8754578754578755,6.402930402930403,5.8901098901098905,4.882783882783883,3.9218609429104423,6.194802783784413,5.483690562265696,4.539225581801418,0.011973570335114127,False,-0.032505057223601516,True,-0.06900029633175683,True,-0.07036115241426336,True,68.19980356391187,ผักสด,68.19980356391187,Q4 (largest gap),price ROSE since training
P13026,1.750915750915751,5.102564102564102,6.586080586080586,3.948717948717949,2.4361915658245157,4.119660255236504,4.287502058259734,1.471476471031105,0.39138137546044516,False,-0.19262939721495653,True,-0.34900552730539075,True,-0.6273533612323826,True,9.926884139482562,ผักสด,9.926884139482562,Q2,price ROSE since training
P13027,2.1758241758241756,6.413919413919414,8.282051282051283,4.934065934065934,2.629540789258349,5.746922272902268,6.16305046640473,2.9138420545137844,0.20852632233590793,False,-0.10399212992443221,True,-0.2558545876477262,True,-0.4094440379493221,True,12.521588946459408,ผักสด,12.521588946459408,Q2,price ROSE since training
P13028,3.6117216117216118,5.992673992673993,6.468864468864469,5.113553113553113,3.707485115135109,5.280115581694103,5.574754987444196,4.075986939035492,0.026514641411647853,False,-0.11890491821363686,True,-0.13821737736564807,True,-0.2029051329823141,True,1.896383186705768,ผักสด,1.896383186705768,Q1 (smallest gap),price ROSE since training
P13029,3.8315018315018317,6.058608058608058,6.102564102564102,5.501831501831502,3.6832921653440147,5.608257524259797,5.210720900650863,4.162493548550448,-0.03868187271614151,True,-0.07433234333559569,True,-0.14614237342275777,True,-0.2434349275936935,True,15.918391554474823,ผักสด,15.918391554474823,Q2,price ROSE since training
P13030,15.238095238095237,39.92673992673993,45.091575091575095,19.633699633699635,16.339261847974615,37.51817606831645,41.10512389018859,17.606302058740415,0.0722640587733342,False,-0.060324581041248555,True,-0.08840789423058625,True,-0.10326110782907968,True,37.57625527921163,ผักสด,37.57625527921163,Q3,price ROSE since training
P13031,15.238095238095237,39.92673992673993,45.091575091575095,19.23076923076923,16.40001737154447,38.69873533144102,42.43749519320198,16.663121653127146,0.07625114000760602,False,-0.030756445368495526,True,-0.05885977353825017,True,-0.1335176740373884,True,35.025906735751285,ผักสด,35.025906735751285,Q3,price ROSE since training
P13032,1.098901098901099,3.2967032967032965,6.593406593406593,11.336996336996338,1.72604739010989,4.080084804213527,7.458067604036995,15.322554368239183,0.5707031249999999,False,0.23762572394476997,False,0.13114025327894435,False,0.35155326091415084,False,16.712116085113152,ผักสด,16.712116085113152,Q2,price ROSE since training
P13033,0.0,0.0,0.0,0.0,0.5768455603183844,0.4996501866714422,1.1178180219489575,1.1785091567825485,,False,,False,,False,,False,80.94206521135366,ผักสด,80.94206521135366,Q4 (largest gap),price ROSE since training
P13034,0.0,0.0,0.0,0.0,0.4131768544514974,0.2005452935075585,1.4445906908084185,1.578152087145236,,False,,False,,False,,False,77.92164987286938,ผักสด,77.92164987286938,Q4 (largest gap),price ROSE since training
P13035,0.0,0.0,0.0,0.0,0.023671541458521135,0.03301486689529139,0.043208324865543796,0.05272323482639187,,False,,False,,False,,False,23.611257510277227,ผักสด,23.611257510277227,Q3,price ROSE since training
P13036,0.0,0.0,0.0,0.0,0.03063812185993125,0.039484132340539504,0.0508110584356846,0.061333443218971787,,False,,False,,False,,False,18.44475663168332,ผักสด,18.44475663168332,Q2,price ROSE since training
P13037,0.0,0.0,0.0,0.0,0.0023458519261398596,0.0007410660768166566,0.0018516844445532494,0.00601672602223826,,False,,False,,False,,False,27.960157126823795,ผักสด,27.960157126823795,Q3,price ROSE since training
P13038,0.0,0.0,0.0,0.0,0.021797092842968394,0.02269043415894002,0.026500740330734532,0.034058595315004006,,False,,False,,False,,False,-2.659494994770659,ผักสด,2.659494994770659,Q1 (smallest gap),price FELL since training
P13039,0.0,0.0,0.0,0.0,0.6593889019864819,0.1616163777781057,0.9374353807051103,1.3650279342036544,,False,,False,,False,,False,105.26149968494012,ผักสด,105.26149968494012,Q4 (largest gap),price ROSE since training
