product_id,model_name,paradigm,horizon,MAE,RMSE,SMAPE
P11001,baseline,local,1,0.238095238095238,1.0910894511799618,0.145407986199246
P11001,baseline,local,20,4.725274725274725,6.992932067530679,2.868977838914568
P11001,baseline,local,60,7.857142857142857,9.032906873947423,4.668841855749998
P11001,baseline,local,120,7.967032967032967,10.711843433489388,4.655983782155764
P11001,baseline,local,250,14.157509157509155,16.433348564883087,8.457716398748499
P11001,arima,local,1,0.2455943007124106,1.091630498483371,0.1499839075349313
P11001,arima,local,20,4.723487894219602,6.987909892997015,2.8678542709074004
P11001,arima,local,60,7.857738467494564,9.034295214416368,4.6692497934705655
P11001,arima,local,120,7.971202239494922,10.714681973465758,4.658471710289545
P11001,arima,local,250,14.158104767860864,16.434111733913852,8.458102771809067
P11001,lightgbm,local,1,0.945886930646727,1.5020906202402786,0.5692639235038089
P11001,lightgbm,local,20,17.476610766768335,22.739483565025896,9.557968228491935
P11001,lightgbm,local,60,18.371695820349384,23.26474925827001,10.199391448864151
P11001,lightgbm,local,120,12.196885082863222,17.801348346314562,6.494585558152432
P11001,lightgbm,local,250,32.637524643210405,35.848132551484554,17.75115836572149
P11001,random_forest,local,1,1.653269144378629,2.293836607732982,0.9846601998504756
P11001,random_forest,local,20,14.224315224310509,18.205954239531124,7.993172759805277
P11001,random_forest,local,60,13.20589161617199,15.534960085317143,7.629948745783544
P11001,random_forest,local,120,8.599728293930076,12.129219214077414,4.690781921909283
P11001,random_forest,local,250,17.691193918897095,20.5637782139912,10.135924360474728
P11001,mlp,local,1,2.2652467161744507,2.6772923834362365,1.3525734864546983
P11001,mlp,local,20,4.864690312535772,6.92496135090228,2.900802475820166
P11001,mlp,local,60,8.810834556272178,11.254886910363334,5.082289224731094
P11001,mlp,local,120,9.478500254424937,11.530353746077722,5.286783733541336
P11001,mlp,local,250,21.7426514677949,24.05355817159817,12.173002164130285
P11001,lstm,local,1,5.194163842952295,6.437948560148667,3.052965891859276
P11001,lstm,local,20,8.962384513882927,10.967238319409608,5.140529366395432
P11001,lstm,local,60,7.634015932187929,10.197214624798583,4.391537079443026
P11001,lstm,local,120,4.369878580282022,5.957389045893024,2.471431982040837
P11001,lstm,local,250,21.486771188812813,24.205104868060868,11.979554369585976
P11001,gru,local,1,9.004294985816593,10.62387933912062,5.140838368774484
P11001,gru,local,20,6.867493570069254,8.165187290705571,4.022395476833991
P11001,gru,local,60,9.693215171059409,12.034454920685176,5.529148855741221
P11001,gru,local,120,7.976575914320055,10.290177569320807,4.453930778267665
P11001,gru,local,250,23.934637328207277,26.22108110043211,13.175521333839091
P11002,baseline,local,1,0.1831501831501831,0.956948752938691,0.1210732403776451
P11002,baseline,local,20,3.076923076923077,6.46206172658864,2.0405906447045856
P11002,baseline,local,60,3.772893772893773,7.387743537695023,2.464219811575172
P11002,baseline,local,120,5.476190476190476,8.84854243910845,3.4249828214369886
P11002,baseline,local,250,10.989010989010987,13.4858493194953,7.065952559215653
P11002,arima,local,1,0.1900355283813928,0.9576247456996562,0.1256262109119288
P11002,arima,local,20,3.075492216117216,6.456631942658219,2.0395971511804136
P11002,arima,local,60,3.7757554945054954,7.390258684505355,2.46608617702844
P11002,arima,local,120,5.479052197802198,8.850642470569893,3.4268491868902564
P11002,arima,local,250,10.989010989010987,13.486166375110717,7.066031990073879
P11002,lightgbm,local,1,0.7249929933193628,1.1686224608311937,0.4656535186707146
P11002,lightgbm,local,20,7.312916518314512,10.119584663704211,4.552964184138744
P11002,lightgbm,local,60,10.42903217417463,12.865033096673905,6.631508388073813
P11002,lightgbm,local,120,5.039165674882021,6.55805981537774,3.109793030697356
P11002,lightgbm,local,250,20.30977009273762,26.869022981964605,12.109645006431016
P11002,random_forest,local,1,2.8710171265768425,3.8942725549567294,1.83498092790533
P11002,random_forest,local,20,5.948673437307172,8.579971214672687,3.753878811168003
P11002,random_forest,local,60,10.25412398003531,11.833647245798655,6.572548273249163
P11002,random_forest,local,120,6.310638954897424,8.039820946386422,3.8547458312372105
P11002,random_forest,local,250,19.274960954873897,24.600815922515626,11.59522714786456
P11002,mlp,local,1,2.9762115478515625,3.672717428718096,1.8836988033001327
P11002,mlp,local,20,7.24358147142571,9.751933671670258,4.539153375538093
P11002,mlp,local,60,9.562000204791952,11.277622854010849,6.036626865764815
P11002,mlp,local,120,7.315509614490327,8.640429383372355,4.433677356857991
P11002,mlp,local,250,18.55839421198918,22.6932285958042,10.937039955190183
P11002,lstm,local,1,6.108624636471927,6.76112091025616,3.939247599238863
P11002,lstm,local,20,5.699518448267227,7.25815862647605,3.6957432612339702
P11002,lstm,local,60,6.440575176979596,7.556761560346549,4.085834280843835
P11002,lstm,local,120,7.398056309738439,8.64917679257902,4.620075254254956
P11002,lstm,local,250,12.76340090573489,14.77709894627828,7.876502050851697
P11002,gru,local,1,5.8326659709106,6.744359586286076,3.680531759158785
P11002,gru,local,20,4.511716681958991,5.924665385649671,2.883838148692782
P11002,gru,local,60,8.150843134729854,9.598672843988188,5.205594175822452
P11002,gru,local,120,7.019777458666009,8.320282778048155,4.296349658858489
P11002,gru,local,250,15.151657383957188,17.65803425110709,9.203726344749136
P11003,baseline,local,1,0.2014652014652014,1.0910894511799618,0.1472696540779105
P11003,baseline,local,20,4.670329670329671,7.431001293216158,3.386116166971389
P11003,baseline,local,60,7.8388278388278385,10.403929942178497,5.529771056690723
P11003,baseline,local,120,11.556776556776557,15.57505754668077,7.800105744008915
P11003,baseline,local,250,13.956043956043956,16.734295026580295,9.479028949930616
P11003,arima,local,1,0.2084122773777948,1.0917379442245445,0.152375405551719
P11003,arima,local,20,4.669675562532705,7.426260622052174,3.385552542075754
P11003,arima,local,60,7.843406593406593,10.407460236001532,5.533079850312598
P11003,arima,local,120,11.560047095761382,15.577415957231558,7.802479211547297
P11003,arima,local,250,13.955389848246991,16.733558622997084,9.4786734549171
P11003,lightgbm,local,1,1.569198873117502,1.866583059069284,1.1230695665194688
P11003,lightgbm,local,20,8.275148307630642,11.404272438811878,5.716426227998186
P11003,lightgbm,local,60,13.260368333694666,19.82903229212866,8.61867277819741
P11003,lightgbm,local,120,14.814615721437075,17.640386283077277,9.557268651448672
P11003,lightgbm,local,250,20.29540056377865,24.12624751442173,12.758688685696756
P11003,random_forest,local,1,0.976072267178266,1.4750895920299572,0.7058681328710074
P11003,random_forest,local,20,12.263006161890276,20.02103048959734,8.068237112222935
P11003,random_forest,local,60,13.414419941521844,20.07412115761953,8.737948806892506
P11003,random_forest,local,120,17.77983077666288,21.443536974155176,11.328255917898613
P11003,random_forest,local,250,20.134393928206126,24.373705740273383,12.643859008797367
P11003,mlp,local,1,2.6750114357078467,3.9087523189808655,1.9448234200028225
P11003,mlp,local,20,7.848012064839457,10.388658740345,5.461870522506702
P11003,mlp,local,60,11.614615807166466,16.234705227992787,7.74508392213575
P11003,mlp,local,120,17.618160317668984,19.67875093921448,11.573602905521527
