product_id,group,category,status,move_rate,mean_price,raw_reports,adf_p_min,adf_p_max
P11001,Meat & Poultry,Retail,active,0.05998080614203455,165.86091127098322,1920.0,0.14418878788197198,0.1899306185887808
P11002,Meat & Poultry,Retail,active,0.061420345489443376,158.70263788968825,1920.0,0.1089424198797676,0.13967966919733876
P11003,Meat & Poultry,Retail,active,0.05758157389635317,149.64268585131896,1920.0,0.12930785507298986,0.1445510695934643
P11004,Meat & Poultry,Retail,active,0.05758157389635317,149.69544364508394,1920.0,0.12898236538953445,0.1445510695934643
P11005,Meat & Poultry,Retail,active,0.04894433781190019,174.7314148681055,1920.0,0.23052047925301805,0.3521561385917148
P11006,Meat & Poultry,Retail,active,0.007197696737044146,71.55635491606715,1920.0,0.6568932692996949,0.6849692497728503
P11007,Meat & Poultry,Retail,active,0.0,40.0,677.0,,
P11008,Meat & Poultry,Retail,active,0.0,30.0,677.0,,
P11009,Meat & Poultry,Retail,active,0.0028790786948176585,64.63309352517986,2017.0,0.6589298340291321,0.6166903613514776
P11010,Meat & Poultry,Retail,active,0.0033589251439539347,71.31654676258992,1920.0,0.646272852412191,0.7015450154324945
P11011,Meat & Poultry,Retail,active,0.013915547024952015,78.9040767386091,1920.0,0.754422071223379,0.7010272672389357
P11012,Meat & Poultry,Retail,active,0.013915547024952015,76.27338129496403,1920.0,0.7080386182256917,0.707076057396756
P11013,Meat & Poultry,Retail,active,0.01583493282149712,70.23741007194245,2017.0,0.47478584265769114,0.6752396395938396
P11014,Meat & Poultry,Retail,active,0.016314779270633396,88.59712230215827,1920.0,0.05899962435624156,0.1854950523802622
P11015,Meat & Poultry,Retail,active,0.014395393474088292,77.38848920863309,1920.0,0.050381701959988937,0.13583601860234612
P11016,Meat & Poultry,Retail,active,0.0067178502879078695,66.11270983213429,1920.0,0.31768364142286254,0.7435077241591815
P11017,Meat & Poultry,Retail,active,0.0067178502879078695,52.1031175059952,1920.0,0.2879737325937861,0.41134314095305174
P11018,Meat & Poultry,Retail,active,0.013915547024952015,86.8968824940048,1920.0,0.2626529710470125,0.4163651859608072
P11019,Meat & Poultry,Retail,active,0.0047984644913627635,26.384172661870505,1920.0,0.11820344474742467,0.32269211336923
P11020,Meat & Poultry,Retail,active,0.020633397312859885,4.970071942446044,1920.0,0.7863479992084688,0.7865245405008774
P11021,Meat & Poultry,Retail,active,0.020633397312859885,4.672326139088729,1920.0,0.7862043513568442,0.7863825110281986
P11022,Meat & Poultry,Retail,active,0.02015355086372361,4.469736211031175,1920.0,0.6678935915597772,0.7550743471686203
P11023,Meat & Poultry,Retail,active,0.0023992322456813818,6.391223021582734,1920.0,0.7810467363317052,0.6798406601201605
P11024,Meat & Poultry,Retail,active,0.0023992322456813818,5.484028776978418,1920.0,0.846739851302927,0.6798406601201614
P11025,Meat & Poultry,Retail,active,0.04318618042226487,4.403021582733813,1920.0,0.18317625528576337,0.2428442676655338
P11026,Meat & Poultry,Retail,active,0.0427063339731286,4.103357314148681,1920.0,0.19409109298001387,0.23311806841044658
P11027,Meat & Poultry,Retail,active,0.0427063339731286,3.7771223021582725,1920.0,0.1939515198349056,0.24097326947637465
P11028,Meat & Poultry,Retail,active,0.04030710172744722,3.5568824940047965,2017.0,0.11711083420416402,0.1686571270392691
P11029,Meat & Poultry,Retail,active,0.041746641074856046,3.3294964028776977,1920.0,0.15171250564541144,0.11885664348721647
P11030,Meat & Poultry,Retail,active,0.04126679462571977,3.157362110311751,1920.0,0.12051866562039354,0.1161097757512396
P11031,Meat & Poultry,Retail,active,0.0014395393474088292,238.04796163069545,1920.0,0.6696149440212242,0.40433012127274115
P11032,Meat & Poultry,Retail,active,0.0014395393474088292,242.18705035971223,1920.0,0.8104546571080495,0.40433012127272616
P11033,Meat & Poultry,Retail,active,0.0014395393474088292,299.8033573141487,1920.0,0.8269957837857602,0.9800163944266378
P11034,Meat & Poultry,Retail,empty,,,,,
P11035,Meat & Poultry,Retail,empty,,,,,
P11036,Meat & Poultry,Retail,empty,,,,,
P11037,Meat & Poultry,Retail,active,0.06190019193857965,139.29496402877697,2017.0,0.0816463588997049,0.07536821239090663
P11038,Meat & Poultry,Retail,active,0.05998080614203455,139.34772182254196,2017.0,0.07619584734161494,0.07009306946194992
P11039,Meat & Poultry,Retail,empty,,,,,
P11040,Meat & Poultry,Retail,empty,,,,,
P11041,Meat & Poultry,Retail,empty,,,,,
P11042,Meat & Poultry,Retail,active,0.0019193857965451055,218.61390887290167,1917.0,0.5669222052822843,0.5917028893289283
P11043,Meat & Poultry,Retail,active,0.0014395393474088292,210.9736211031175,1917.0,0.849715409962646,0.4043301212727463
P11044,Meat & Poultry,Retail,active,0.008157389635316698,73.52997601918466,1031.0,0.2889376366293115,0.08329283543713051
P11045,Meat & Poultry,Retail,active,0.007197696737044146,76.20143884892086,1031.0,0.5957771887538272,0.6435601836371985
P11046,Meat & Poultry,Retail,active,0.0067178502879078695,85.54196642685851,948.0,0.3729803422706968,0.22112229731423966
P11047,Meat & Poultry,Retail,active,0.0014395393474088292,209.14388489208633,801.0,0.9884429608895341,0.9881285935005002
P11048,Meat & Poultry,Retail,active,0.0014395393474088292,232.78177458033574,801.0,0.9825279304068419,0.9825279304068417
P11049,Meat & Poultry,Retail,active,0.0014395393474088292,272.7817745803357,801.0,0.9825279304068416,0.9825279304068415
P11050,Meat & Poultry,Retail,active,0.0009596928982725527,295.7841726618705,801.0,0.9752381674563665,0.9607366217455171
P12001,Aquatic & Marine,Retail,active,0.02831094049904031,250.36450839328538,1918.0,0.000491788622239812,0.0008989559602345388
P12002,Aquatic & Marine,Retail,active,0.029750479846449136,228.1199040767386,1918.0,0.006535683370185605,7.25220806886719e-05
P12003,Aquatic & Marine,Retail,active,0.03262955854126679,207.1127098321343,1918.0,0.0071673789407039725,0.007559124891673162
P12004,Aquatic & Marine,Retail,active,0.03358925143953935,184.22541966426857,2060.0,0.01124094962945883,0.012185177140839217
P12005,Aquatic & Marine,Retail,active,0.030230326295585412,162.19664268585132,1918.0,3.530107709739448e-05,3.59536541307729e-05
P12006,Aquatic & Marine,Retail,empty,,,,,
P12007,Aquatic & Marine,Retail,empty,,,,,
P12008,Aquatic & Marine,Retail,active,0.0,451.72661870503595,1918.0,5.08687877454962e-08,
P12009,Aquatic & Marine,Retail,active,0.008157389635316698,181.99760191846522,1918.0,0.10103614835231584,0.03373139841833188
P12010,Aquatic & Marine,Retail,active,0.009596928982725527,212.00959232613909,1918.0,0.6712055758919728,0.02201129534608648
P12011,Aquatic & Marine,Retail,active,0.008637236084452975,151.0071942446043,1918.0,0.40607507054867426,0.2399070895701183
P12012,Aquatic & Marine,Retail,active,0.017754318618042227,67.75299760191847,1918.0,0.4591106640978402,0.35551303809720236
P12013,Aquatic & Marine,Retail,active,0.008637236084452975,52.539568345323744,1918.0,0.0030700317391858683,0.3850637838431531
P12014,Aquatic & Marine,Retail,active,0.004318618042226488,99.76498800959233,1918.0,0.6202613064690081,0.9572951260984498
P12015,Aquatic & Marine,Retail,active,0.007197696737044146,145.85611510791367,1918.0,0.32462561882210883,0.2451278104110433
P12016,Aquatic & Marine,Retail,active,0.005758157389635317,71.19184652278177,2060.0,0.0011267364073424557,0.21222870145889994
P12017,Aquatic & Marine,Retail,active,0.004318618042226488,60.83213429256595,2060.0,0.0025058022293011845,0.42374870059318936
P12018,Aquatic & Marine,Retail,active,0.0047984644913627635,51.064748201438846,1918.0,0.0005039608415883693,0.06814851185722505
P12019,Aquatic & Marine,Retail,active,0.01055662188099808,102.22302158273381,2060.0,0.30541056876788764,0.46266553066822014
P12020,Aquatic & Marine,Retail,active,0.0004798464491362764,20.0,666.0,,0.13930862903884667
P12021,Aquatic & Marine,Retail,empty,,,,,
P12022,Aquatic & Marine,Retail,empty,,,,,
P12023,Aquatic & Marine,Retail,active,0.0004798464491362764,31.400479616306953,820.0,0.9096334101160943,0.9096334101160941
P12024,Aquatic & Marine,Retail,active,0.0019193857965451055,134.77218225419665,457.0,0.39867144615661393,0.5885908257426767
P13001,Fresh Vegetables,Retail,active,0.17994241842610365,26.725659472422063,2063.0,2.749902499949491e-09,1.9358068170027884e-08
P13002,Fresh Vegetables,Retail,active,0.16218809980806143,35.35923261390887,1921.0,1.478280740026104e-07,2.6380185842168395e-07
P13003,Fresh Vegetables,Retail,active,0.20969289827255277,24.33429256594724,2063.0,5.368024500995299e-13,1.0740875320039797e-12
P13004,Fresh Vegetables,Retail,active,0.19241842610364684,32.49400479616307,1921.0,6.769956786649585e-11,1.0909324208855997e-10
P13005,Fresh Vegetables,Retail,active,0.1765834932821497,20.91558752997602,2063.0,1.1857474183693832e-14,1.4227018277766347e-12
P13006,Fresh Vegetables,Retail,active,0.15499040307101727,28.75347721822542,1921.0,1.5940960353068491e-10,3.5391917967531836e-09
P13007,Fresh Vegetables,Retail,active,0.2696737044145873,43.69304556354916,1921.0,5.510066656861123e-11,1.5311521223569148e-10
P13008,Fresh Vegetables,Retail,active,0.2581573896353167,53.682973621103116,1921.0,5.244910742161015e-10,5.793413582561073e-09
P13009,Fresh Vegetables,Retail,active,0.09404990403071017,25.998561151079137,2063.0,5.3386859988266165e-06,4.2205141221962205e-05
P13010,Fresh Vegetables,Retail,active,0.08253358925143954,34.53525179856115,1921.0,0.0002707193436956062,0.0012098890196470878
P13011,Fresh Vegetables,Retail,active,0.07389635316698656,22.71031175059952,2063.0,0.0014774442090827373,0.0043949157249103775
P13012,Fresh Vegetables,Retail,active,0.06669865642994242,30.94388489208633,1921.0,0.016965062642975193,0.012101684247364219
P13013,Fresh Vegetables,Retail,active,0.07005758157389635,35.860911270983216,1921.0,0.0003313126151803017,0.0004995742596780647
P13014,Fresh Vegetables,Retail,active,0.06621880998080615,45.035011990407675,1921.0,0.0010807760816451868,0.0021915717233407118
P13015,Fresh Vegetables,Retail,active,0.12715930902111325,30.87338129496403,1921.0,0.00014464197509181874,0.0004094803304245176
P13016,Fresh Vegetables,Retail,active,0.10892514395393474,39.51510791366906,1921.0,3.486543764569531e-05,0.0022336671504028234
P13017,Fresh Vegetables,Retail,active,0.14251439539347407,33.73189448441247,1921.0,6.36414788200032e-05,9.981613365757819e-05
P13018,Fresh Vegetables,Retail,active,0.1295585412667946,42.72038369304556,1921.0,0.0002610846314963351,0.0029434647742725287
P13019,Fresh Vegetables,Retail,active,0.12092130518234165,29.327098321342927,1921.0,9.279859501960622e-06,2.848237001019689e-05
P13020,Fresh Vegetables,Retail,active,0.11420345489443379,38.18609112709832,1921.0,8.894548954064787e-05,0.00036525557525521275
P13021,Fresh Vegetables,Retail,active,0.11948176583493282,25.41726618705036,1921.0,2.9012182636769952e-08,0.011792128193740505
P13022,Fresh Vegetables,Retail,active,0.30470249520153553,43.10647482014389,2063.0,1.3994009200498702e-09,8.717885459071795e-08
P13023,Fresh Vegetables,Retail,active,0.2869481765834933,53.29736211031175,1921.0,1.6320988294057983e-06,1.2474658173725527e-05
P13024,Fresh Vegetables,Retail,active,0.10796545105566219,22.790407673860912,1921.0,0.0010994726826259649,0.015938469488139158
P13025,Fresh Vegetables,Retail,active,0.09596928982725528,30.586570743405275,1921.0,0.08607489670877994,0.10532226768605513
P13026,Fresh Vegetables,Retail,active,0.02111324376199616,15.01726618705036,1921.0,0.007446786769426848,0.01627704738003043
