Horizon,Gamma,SMAPE,MAE,RMSE,PIWidth,PICoverage,CalPIScale,CalPIWidth,CalPICoverage,Baseline_SMAPE,Baseline_MAE,Baseline_RMSE,Blend_Alpha,Blend_SMAPE,Blend_MAE,Blend_RMSE,Seed
20,4.5,9.077367030898278,26.395752301006286,114.46009192159579,15.71875025477835,0.3959066236293958,10.085937532362076,146.85624284193463,0.8556105610561056,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,-1
20,4.5,8.791222025026395,26.511220403854622,116.58649565503428,17.948633061635114,0.4671508359627171,7.324961790556443,131.47305136919533,0.8309578210568309,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
20,4.5,8.727554721424516,25.36650663872381,111.27989686078516,9.805076470892503,0.3578138033583578,14.155811932048444,138.79881850130755,0.8627008305226127,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,43
20,4.5,9.71332434624392,27.30952986044044,115.5138832489679,19.40254123180743,0.3627552315671127,8.777038874481342,170.29685865530095,0.8731730315888732,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,44
60,4.5,15.623062459066679,37.40039196494674,135.9919419049296,15.743147990004838,0.2047927320204547,13.429164875513628,197.93668593688986,0.8032253774828032,14.322837032761756,30.85918724165299,118.13293601453044,0.35000000000000003,14.432328445890965,32.05646647254331,121.40357117145322,-1
60,4.5,14.642600349280675,33.80530400455881,124.44407261981873,17.818483833774682,0.2869655097377869,10.448159709251026,186.17036487198536,0.7878631269720379,14.322837032761756,30.85918724165299,118.13293601453044,0.0,14.322837032761756,30.85918724165299,118.13293601453044,42
60,4.5,14.798097833079217,35.5935208759136,135.56493773954116,9.705175830980362,0.2099789649294599,18.03568305045847,175.0394752365317,0.7826768940630326,14.322837032761756,30.85918724165299,118.13293601453044,0.97,14.761594836612222,35.216071755764254,133.23469002242737,43
60,4.5,17.428489194840143,42.8023510143678,147.9668153554289,19.70578430525947,0.1174337213941174,11.803651866831386,232.6002177021525,0.8391361114133391,14.322837032761756,30.85918724165299,118.13293601453044,0.08,14.21255346829892,30.09414042021269,112.84308747740184,44
120,4.5,18.266384188832323,44.94652747784835,157.0129657688691,15.109914541878831,0.1539670450561539,16.757018116638093,231.84483482921905,0.8010312020213011,18.23218891689393,51.02635797419413,194.64791725644417,0.6566666666666666,17.682831343300364,44.547946029087974,159.70640393271654,-1
120,4.5,17.980427281692748,45.75400717542588,165.49280054443676,16.45562275613622,0.1866409168389366,13.18466012249316,216.9617931436202,0.7756954266855257,18.23218891689393,51.02635797419413,194.64791725644417,0.75,17.66345512983808,43.550641402739735,153.3794600239621,42
120,4.5,17.75207411957653,43.82133018278123,153.2979088920952,9.63349143606149,0.1478892394733978,24.460235407500992,235.6374683222089,0.7933576324665433,18.23218891689393,51.02635797419413,194.64791725644417,1.0,17.75207411957653,43.82133018278123,153.2979088920952,43
120,4.5,19.066651165227697,45.26424507533793,152.24818787007533,19.240629433438787,0.1273709788561273,12.62615881992013,242.935243021828,0.834040546911834,18.23218891689393,51.02635797419413,194.64791725644417,0.22,17.632964780486482,46.27186650174296,172.4418428820923,44
250,4.5,19.147698643904533,58.83569797845458,212.21404374963825,14.732573075220822,0.12127201731162124,23.65338828389929,322.1277417486687,0.891007507344141,19.98081339073248,83.84053434086383,330.3949066329116,0.89,18.75431521080374,60.812934886438825,223.3870603005953,-1
250,4.5,18.292675379518062,52.97469915987451,191.89933444837607,15.93845584786029,0.1467468175388967,19.603389922922105,312.44776475488334,0.8963025423421463,19.98081339073248,83.84053434086383,330.3949066329116,1.0,18.292675379518062,52.97469915987451,191.89933444837607,42
250,4.5,19.086057331093983,64.08891554289622,235.58936375866327,9.724896500196705,0.1047220106626047,33.819268914671284,328.888889907498,0.8771352409966271,19.98081339073248,83.84053434086383,330.3949066329116,1.0,19.086057331093983,64.08891554289622,235.58936375866327,43
250,4.5,20.06436322110156,59.44347923259301,209.15343304187545,18.53436687760547,0.1123472237333623,17.537506014104473,325.04657058362466,0.8995847386936496,19.98081339073248,83.84053434086383,330.3949066329116,0.67,18.88421292179917,65.37518995654574,242.67248269474652,44
