Horizon,Gamma,MAE,SMAPE,RMSE,Baseline_MAE,Baseline_SMAPE,Baseline_RMSE,CalPIScale,CalPIWidth,CalPICoverage,ProductWinRate_MAE,MAE_2024,Baseline_MAE_2024,MAE_2025,Baseline_MAE_2025
20,4.5,26.511220403854626,8.791222025026395,116.58649565503427,15.109672958141475,7.593440184709571,61.838631964677525,7.324961790556443,131.47305136919533,0.8309578210568309,0.24504950495049505,27.676313881951945,14.99049138229167,17.073963231266333,16.075043722524896
60,4.5,33.80530400455881,14.642600349280675,124.44407261981871,30.85918724165299,14.322837032761756,118.13293601453044,10.448159709251026,186.17036487198538,0.7878631269720379,0.4430693069306931,34.38837522061381,29.3072316197368,32.11439747799931,35.35985854520993
120,4.5,45.754007175425876,17.980427281692748,165.49280054443676,51.02635797419413,18.232188916893932,194.64791725644417,13.184660122493161,216.9617931436202,0.7756954266855257,0.6237623762376238,45.87865269998451,42.40879716403034,45.616897098411386,60.50567486537429
250,4.5,52.97469915987451,18.292675379518066,191.89933444837607,83.84053434086383,19.980813390732482,330.39490663291156,19.603389922922105,312.44776475488334,0.8963025423421463,0.7029702970297029,39.42693512383437,63.18839679950081,53.652087361676514,84.87314121793197
