Horizon,Gamma,Seeds,MAE,SMAPE,RMSE,Baseline_MAE,Baseline_SMAPE,Baseline_RMSE,SingleSeed_MAE,SingleSeed_SMAPE,CalPIScale,CalPIWidth,CalPICoverage,ProductWinRate_MAE,MAE_2024,Baseline_MAE_2024,MAE_2025,Baseline_MAE_2025
20,4.5,3,25.980970896880017,8.852589783525588,113.65588398146268,15.109672958141475,7.593440184709571,61.838631964677525,26.395752301006286,9.077367030898277,9.015018397192078,141.70482272769448,0.8589380916113589,0.3094059405940594,27.196072560835514,14.99049138229167,16.138647418840492,16.075043722524896
60,4.5,3,34.6837557780125,14.676063794748298,129.41982753088573,30.85918724165299,14.322837032761756,118.13293601453044,37.400391964946735,15.623062459066679,11.307053899825126,178.0086228759083,0.8009465781743009,0.5371287128712872,35.82132105414502,29.3072316197368,31.3848164772282,35.35985854520993
120,4.5,3,42.15334533978745,17.397598414539416,150.05577309832555,51.02635797419413,18.232188916893932,194.64791725644417,44.94652747784835,18.266384188832323,13.554056806020775,204.8006400347451,0.7964766256845465,0.7475247524752475,39.93417557951154,42.40879716403034,44.594432076090946,60.50567486537429
250,4.5,3,56.78153852699796,18.172000793615556,207.07366017225985,83.84053434086383,19.980813390732482,330.39490663291156,58.83569797845458,19.147698643904537,19.62815707036405,289.17325837105057,0.8943350378993943,0.7376237623762376,35.79234732582306,63.18839679950081,57.83099808705672,84.87314121793197
