family,which,config_id,params,test_mae_20,test_mae_60,test_mae_120,test_mae_250,test_mae_mean,baseline_test_mae
lightgbm,selected,8,"{""num_leaves"": 4095, ""max_depth"": 12, ""min_data_in_leaf"": 1000, ""learning_rate"": 0.05, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7, ""bagging_freq"": 3}",29.23641192965807,40.43285479415997,50.24602950237862,62.293544847021096,45.552210268304435,45.20893813241214
lightgbm,published,0,"{""num_leaves"": 2633, ""max_depth"": 8, ""min_data_in_leaf"": 700, ""learning_rate"": 0.05, ""feature_fraction"": 0.99, ""bagging_fraction"": 0.74, ""bagging_freq"": 3}",29.46086293327191,42.938325099179494,50.4250554507893,56.51039285626338,44.83365908487602,45.20893813241214
mlp,selected,5,"{""h1"": 64, ""h2"": 32, ""drop"": 0.1, ""lr"": 0.01}",26.190496575337953,34.08088600746906,49.74117854889661,82.07535982191577,48.02198023840485,45.20893813241214
mlp,published,0,"{""h1"": 128, ""h2"": 64, ""drop"": 0.47, ""lr"": 0.0034}",34.63146800835444,39.631670864304624,50.80981062145548,80.45429928089648,51.38181219375275,45.20893813241214
lstm,selected,1,"{""hidden"": 32, ""lr"": 0.01}",41.12144159025336,45.940336504715276,54.58741655906666,76.78982987557809,54.60975613240335,45.20893813241214
lstm,published,0,"{""hidden"": 16, ""lr"": 0.01}",45.791472328258294,48.019989265099106,51.447289939603245,73.0604535516397,54.57980127115009,45.20893813241214
transformer,selected,4,"{""d_model"": 64, ""layers"": 2, ""nhead"": 8, ""lr"": 0.001}",38.656438968440845,46.28930169715029,56.99640862252351,87.14058395346609,57.270683310395185,45.20893813241214
transformer,published,0,"{""d_model"": 32, ""layers"": 2, ""nhead"": 4, ""lr"": 0.003}",38.14075967052408,43.0180615942205,49.810778844336994,80.55394826759711,52.880887094169665,45.20893813241214
