Horizon,Gamma,SMAPE,MAE,RMSE,PIWidth,PICoverage,CalPIScale,CalPIWidth,CalPICoverage,Baseline_SMAPE,Baseline_MAE,Baseline_RMSE,Blend_Alpha,Blend_SMAPE,Blend_MAE,Blend_RMSE,Seed
1,0.0,7.528039676856102,35.67376545841952,173.05880416119564,33.96507450527621,0.7277137054364777,0.915048491181298,31.07969017891337,0.7042124542124543,0.8050959915837574,1.2715112602486338,12.55109128600504,0.0,0.8050959915837574,1.2715112602486338,12.55109128600504,42
20,0.0,18.659577189223324,69.7411390238708,254.8341770144052,54.60327446758802,0.5461411525767962,1.742443520936742,95.14312181797936,0.6996790338374497,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
60,0.0,21.77284374322083,76.36610078134763,275.8866611409613,57.71070388590458,0.4613933920864614,2.645210007938001,152.65693148414124,0.7632557211765133,14.322837032761756,30.85918724165299,118.13293601453044,0.0,14.322837032761756,30.85918724165299,118.13293601453044,42
120,0.0,22.838426212548384,73.93588208796865,270.7450611853168,59.34611376647064,0.4549378014724549,2.771872394848878,164.49985449084093,0.7611250136002611,18.23218891689393,51.02635797419413,194.64791725644417,0.0,18.23218891689393,51.02635797419413,194.64791725644417,42
250,0.0,23.20732701826913,71.37137149025645,220.3834030698497,63.8278002631713,0.4827004678489827,2.1873632925266926,139.61458733838643,0.7231893519022232,19.98081339073248,83.84053434086383,330.3949066329116,0.59,19.654878808505934,66.46649037575918,203.89841963090436,42
1,0.5,5.348746196694242,28.006707281069616,134.7076339532376,20.735418387372107,0.5617089181445617,1.962382352313527,40.69081911121643,0.7950349980052951,0.8050959915837574,1.2715112602486338,12.55109128600504,0.0,0.8050959915837574,1.2715112602486338,12.55109128600504,42
20,0.5,19.793943395635075,75.1574893196794,264.2692013796841,55.601561502339024,0.4407391288579407,2.631195218805958,146.2985627830999,0.7085373372502085,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
60,0.5,23.02958720664312,78.42372781812661,277.32370372360475,58.002572992608485,0.3897834838428898,3.3505115311546243,194.3382896483725,0.7692942371160193,14.322837032761756,30.85918724165299,118.13293601453044,0.0,14.322837032761756,30.85918724165299,118.13293601453044,42
120,0.5,23.30754575865907,71.87685124512052,249.3149162224573,60.89182379193783,0.3846244514561346,3.5671664552689024,217.21127123074547,0.8063413484205564,18.23218891689393,51.02635797419413,194.64791725644417,0.01,18.15203861285822,50.62018502116788,192.77750890928124,42
250,0.5,23.48898243175884,63.93860549333565,211.85593024605092,61.77308490747394,0.3933014180538933,3.159943706889962,195.19947090855155,0.7866300366300366,19.98081339073248,83.84053434086383,330.3949066329116,0.77,20.94758385587447,61.43701723379022,206.29145617053484,42
1,1.0,3.667006667277296,22.84639730745467,124.81150272516236,20.96155390071788,0.7881532658760382,0.7618905674990182,15.970410197079206,0.7162713524099663,0.8050959915837574,1.2715112602486338,12.55109128600504,0.0,0.8050959915837574,1.2715112602486338,12.55109128600504,42
20,1.0,13.031276333938528,51.28246030133952,195.5283435185908,66.6776086119398,0.6499292786421499,1.496254364354799,99.76666289035605,0.7748794110180249,7.593440184709571,15.109672958141475,61.838631964677525,0.0,7.593440184709571,15.109672958141475,61.838631964677525,42
60,1.0,19.531152276454936,64.82709152961267,229.48734449022837,77.38236067688109,0.5561509447648062,1.593074031042708,123.27582925511965,0.703006564392703,14.322837032761756,30.85918724165299,118.13293601453044,0.04,14.225455403890246,30.283026090085183,114.02425431253172,42
120,1.0,21.064825136236514,67.71491119902447,234.1754161675176,79.02062154089519,0.5202009211910202,2.074899004008477,163.9598089313343,0.7697113117905197,18.23218891689393,51.02635797419413,194.64791725644417,0.09,17.66928029721105,48.57457042324287,182.1453580119671,42
250,1.0,23.398286715910743,72.0253184289435,240.4873914380525,78.16438363655251,0.4788833278932289,2.275554214965535,177.86729264434015,0.7903746418597903,19.98081339073248,83.84053434086383,330.3949066329116,0.55,18.817867717622963,69.72367022282157,246.83834041140247,42
