Horizon,Paradigm,Model Name,SMAPE (%),MAE (THB),RMSE (THB),Strict DA (%),Active DA (%)
20,Local,Baseline,9.79657404034017,24.212439594833963,68.07111884148996,26.00560628729643,0.0
20,Local,ARIMA,9.805264418889537,24.217771902369734,68.03652949151352,35.08056888338578,15.071931577846467
20,Local,MLP,14.952615577719444,52.655856171772925,129.49412862862337,44.545907926189614,60.20173379505892
20,Local,GRU,15.04188589927499,80.96382110063921,224.25803205763782,44.55966568642625,60.220326771562036
20,Local,LSTM,15.573445805041036,82.74732649511728,226.1832840828369,43.63273659048307,58.96762497966394
20,Local,Lightgbm,15.585345252468235,83.73429720337833,230.5263418573882,44.80902509071523,60.557324470681195
20,Local,Random_Forest,15.769086935638729,83.91452831818884,227.22244683118262,46.53562400041273,60.31561577614056
20,Global,TFT,11.793986837678172,31.140549092421654,128.77954451851718,34.65884631941455,57.450366813590314
20,Global,Random_Forest,11.871516029362516,39.72853776672596,161.15729627501108,38.8880290288741,52.55537220814838
20,Global,Lightgbm,16.971231951289585,38.28893692071916,182.998036089144,43.62413799033517,58.95600436934948
20,Global,LSTM,43.46028794467162,63.726117803345346,217.54364808491803,42.68517085418494,57.687033723011126
20,Global,MLP,43.64131421363978,80.10288082039159,176.90814642924278,40.986087464960704,55.390801124875075
20,Global,GRU,47.75361571282302,50.907004511061594,194.38663049061196,39.33859567662385,53.16429218862575
20,Global,Transformer,85.26917841607805,56.548573380323504,163.2150541011684,38.179504376687476,51.59783391823739
60,Local,Baseline,17.034794261911824,47.89481899946688,126.49418002755716,13.628781234415039,0.0
60,Local,ARIMA,17.04380631793674,47.90595801924777,126.4753097488751,23.465579803607973,12.601545078050336
60,Local,LSTM,17.613722667424824,80.7565825297364,223.08844367705848,58.60805860805861,67.85600509716471
60,Local,GRU,17.90438664807509,83.89477459656365,228.45537426407935,58.812705291578524,68.09294361261549
60,Local,MLP,18.660851377267765,79.7281374727225,207.20010526032792,58.20048496104834,67.3841191462249
60,Local,Lightgbm,19.257535906864945,104.1410752835203,280.0516133514379,58.58054308758535,67.82414781777636
60,Local,Random_Forest,19.427574983983888,108.04809868690027,290.6757984472117,61.337254295000776,67.7305670595731
60,Global,TFT,15.788019191410653,39.33545102135538,153.14863879400255,50.07936934997848,65.04199037890346
60,Global,Random_Forest,18.7521813416782,75.67715388397617,230.4164140954493,47.07217664964144,54.49984071360306
60,Global,Lightgbm,22.083771886567447,60.986741295997966,202.33773690998942,54.7094533010026,63.342226823829236
60,Global,LSTM,45.18820759350308,60.625073023128934,195.85052108707,54.28124301363738,62.8464479133482
60,Global,MLP,45.277245917575165,76.6390172172861,174.06655178689005,50.73690003267468,58.74283211213762
60,Global,GRU,53.25482586404389,62.9061599226099,193.83492706765398,48.88304184078832,56.5964479133482
60,Global,Transformer,91.37666800314734,69.26974180207027,164.91293871268817,46.01282911142066,53.27333545715196
120,Local,LSTM,18.012052975975546,74.73096182502599,205.06344906889044,64.77497463412956,73.13928425794676
120,Local,GRU,18.240945463109945,79.7006526227321,213.22244609017102,64.87643811587473,73.25384958931241
120,Local,Baseline,20.41958639033355,79.35004684517361,207.84288787542388,11.436138196701577,0.0
120,Local,ARIMA,20.43241708345603,79.3319425541238,207.79877074198006,21.176632444238077,11.945863026466533
120,Local,Random_Forest,20.812035869158784,108.61775153440419,278.32703747526404,65.29433008306248,70.54894269791646
120,Local,Lightgbm,20.895971850837437,111.6456114525056,277.08684479998436,62.66831759789506,70.76059729315133
120,Local,MLP,20.966141179523657,91.95056264726848,239.78575617183512,62.738826119107806,70.84021048952407
120,Global,TFT,16.969095026594164,48.6267330812878,183.63896325678698,56.709624766824504,68.13587629976833
120,Global,Random_Forest,23.355448859831572,138.1602153305368,348.71736261148993,49.93894993894994,56.387502669954756
120,Global,Lightgbm,25.435342829007578,87.79402725449503,228.0023660905338,59.38709178145798,67.0556709839026
120,Global,LSTM,43.63205501622289,70.37325607507474,187.30932852780265,56.29331544824503,63.562399269888736
120,Global,MLP,46.73346071959343,79.18958938440505,170.56949123740443,53.165144714440494,60.03029185032719
120,Global,GRU,54.61812788863475,84.43947726915547,201.60129340208636,49.183992845964674,55.535058933183166
120,Global,Transformer,61.994106862934174,85.24629870005288,194.89028320982007,48.8348896799601,55.14087652187422
250,Local,GRU,19.305552893666604,86.3940673177608,205.81254990591773,63.089649005141965,71.23495145631068
250,Local,LSTM,19.62182650015844,91.81457857371298,222.47282648398075,61.69495606115324,69.66019417475728
250,Local,MLP,21.43604460725553,103.5930321800061,264.81543574207126,59.356136820925556,67.01941747572816
250,Local,Baseline,22.18901455487599,131.25099853823798,370.1636607734468,11.434418476671999,0.0
250,Local,ARIMA,22.20421527646167,131.232937985214,370.1017545416722,21.169753564119763,11.953398058252427
250,Local,Random_Forest,23.170375708217698,125.48380020686429,290.77780738898355,62.11800718842972,67.99417475728156
250,Local,Lightgbm,23.21157912624929,127.32436564320233,298.33391810185157,60.0629417530826,67.81747572815534
250,Global,TFT,17.98124012066265,56.97669442434145,217.31749232049958,59.55929832113647,68.5501060595895
250,Global,Random_Forest,26.357881184417906,192.33877944129787,438.7080584757361,49.68787081463138,56.10291262135922
250,Global,Lightgbm,28.38775877480271,95.23720749259168,252.53818965914144,56.48592409155789,63.77864077669903
250,Global,LSTM,49.52670439179127,115.19417074952804,242.28394183364327,55.22021014978762,62.3495145631068
250,Global,MLP,51.65846355611704,113.07950440714365,250.268116853421,50.6199590706633,57.15533980582524
250,Global,GRU,68.11417675910964,138.16096604985063,289.80169971286506,46.31034067653786,52.289320388349516
250,Global,Transformer,76.63142692322513,143.85564743422643,321.16155857304057,49.81169065676108,56.24271844660195
